pedigree,offspring,fieldID,pbtAssigned,dateSamples,pa,ma,popName,rearType,marks,lengthFork,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0001,A1,No,04/03/12,,,,W,NONE,746,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0002,A2,No,04/05/12,,,,W,NONE,268,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0003,A3,No,04/05/12,,,,W,NONE,703,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0004,A4,No,04/08/12,,,,W,NONE,719,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0005,A5,No,04/08/12,,,,W,NONE,,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0006,A6,No,04/10/12,,,,W,NONE,640,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0007,A7,Yes,04/11/12,OmyPAHH09S_0419,OmyPAHH09S_0503,OmyPAHH09S,H,AD,585,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0008,A8,No,04/11/12,,,,W,NONE,232,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0009,A9,No,04/14/12,,,,W,NONE,735,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0010,A10,Yes,04/14/12,OmyPAHH08S_0547,OmyPAHH08S_0607,OmyPAHH08S,H,AD,631,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0011,B1,No,04/16/12,,,,W,NONE,701,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0012,B2,No,04/18/12,,,,W,NONE,520,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0013,B3,No,04/19/12,,,,W,NONE,684,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0014,B4,No,04/21/12,,,,W,NONE,310,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0015,B5,Yes,04/22/12,OmyPAHH09S_0470,OmyPAHH09S_0554,OmyPAHH09S,H,AD,532,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0016,B6,No,04/22/12,,,,W,NONE,410,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0017,B7,Yes,04/24/12,OmyPAHH09S_0496,OmyPAHH09S_0580,OmyPAHH09S,H,AD,595,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0018,B8,No,04/25/12,,,,W,NONE,375,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0019,B9,No,04/25/12,,,,W,NONE,567,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0020,C1,No,04/26/12,,,,W,NONE,202,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0021,C2,No,05/05/12,,,,H,AD,561,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0022,C3,Yes,05/11/12,OmyPAHH09S_0427,OmyPAHH09S_0512,OmyPAHH09S,H,AD,670,,,,,,,,,,,,,,,,,,
OmyBOHA12S,OmyBOHA12S_0023,C4,No,05/18/12,,,,W,NONE,403,,,,,,,,,,,,,,,,,,
OmyBTMB12S,OmyBTMB12S_0001,A1,No,05/05/12,,,,W,NONE,325,,,,,,,,,,,,,,,,,,
OmyCNYL12S,OmyCNYL12S_0001,A1,No,04/13/12,,,,W,NONE,174,,,,,,,,,,,,,,,,,,
OmyCNYL12S,OmyCNYL12S_0002,A2,No,04/27/12,,,,W,NONE,426,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0001,A1,No,03/26/12,,,,W,None,735,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0002,A3,Yes,03/27/12,OmySAWT09S_0137,OmySAWT09S_0626,OmySAWT09S,W,None,570,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0003,A4,No,03/31/12,,,,W,None,662,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0004,A5,No,04/04/12,,,,W,None,760,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0005,A6,No,04/04/12,,,,W,None,555,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0006,A7,No,04/04/12,,,,W,None,670,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0007,A8,No,04/05/12,,,,W,None,693,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0008,A9,No,04/06/12,,,,W,None,633,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0009,A10,No,04/06/12,,,,W,None,414,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0010,B1,No,04/07/12,,,,W,None,610,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0011,B2,No,04/07/12,,,,W,None,640,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0012,B3,No,04/07/12,,,,W,None,,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0013,B4,No,04/09/12,,,,W,None,602,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0014,B5,No,04/09/12,,,,W,None,558,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0015,B6,No,04/10/12,,,,H,None,541,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0016,B7,Yes,04/11/12,OmySAWT09S_0071,OmySAWT09S_0560,OmySAWT09S,W,None,544,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0017,B8,No,04/11/12,,,,W,None,560,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0018,B9,No,04/12/12,,,,W,None,678,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0019,B10,No,04/12/12,,,,W,None,696,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0020,C1,No,04/15/12,,,,W,None,701,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0021,C2,No,04/18/12,,,,W,None,676,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0022,C3,No,04/18/12,,,,W,None,690,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0023,C4,Yes,04/18/12,OmyPAHH08S_0820,OmyPAHH08S_0884,OmyPAHH08S,H,AD,652,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0024,C5,No,04/18/12,,,,W,None,520,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0025,C6,Yes,04/19/12,OmyPAHH09S_0451,OmyPAHH09S_0535,OmyPAHH09S,H,AD,586,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0026,C7,Yes,04/19/12,OmyPAHH09S_0466,OmyPAHH09S_0550,OmyPAHH09S,H,AD,558,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0027,C8,No,04/21/12,,,,W,None,730,,,,,,,,,,,,,,,,,,
OmyHAYW12S,OmyHAYW12S_0028,C9,No,04/21/12,,,,W,None,736,,,,,,,,,,,,,,,,,,
OmyKENY12S,OmyKENY12S_0001,A1,Yes,04/10/12,OmyPAHH09S_0202,OmyPAHH09S_0252,OmyPAHH09S,H,NONE,670,,,,,,,,,,,,,,,,,,
OmyKENY12S,OmyKENY12S_0002,A2,No,04/10/12,,,,W,NONE,528,,,,,,,,,,,,,,,,,,
OmyKENY12S,OmyKENY12S_0003,A3,No,04/10/12,,,,H,NONE,328,,,,,,,,,,,,,,,,,,
OmyKENY12S,OmyKENY12S_0004,A4,Yes,04/11/12,OmySAWT09S_0229,OmySAWT09S_0719,OmySAWT09S,H,NONE,589,,,,,,,,,,,,,,,,,,
OmyKENY12S,OmyKENY12S_0005,A5,No,04/16/12,,,,W,NONE,567,,,,,,,,,,,,,,,,,,
OmyKENY12S,OmyKENY12S_0006,A6,No,04/22/12,,,,W,NONE,648,,,,,,,,,,,,,,,,,,
OmyKENY12S,OmyKENY12S_0007,A7,No,04/22/12,,,,W,NONE,196,,,,,,,,,,,,,,,,,,
OmyKENY12S,OmyKENY12S_0008,A8,No,04/24/12,,,,W,NONE,383,,,,,,,,,,,,,,,,,,
OmyKENY12S,OmyKENY12S_0009,A9,No,04/26/12,,,,W,NONE,174,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0001,F1,No,04/20/12,,,,W,NONE,538,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0002,F2,No,04/21/12,,,,H,AD,658,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0003,F3,No,04/21/12,,,,W,NONE,530,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0004,F4,No,04/21/12,,,,W,NONE,654,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0005,F5,No,04/22/12,,,,W,NONE,649,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0006,F6,Yes,04/22/12,OmyPAHH09S_0470,OmyPAHH09S_0554,OmyPAHH09S,H,NONE,578,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0007,F7,No,04/22/12,,,,W,NONE,373,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0008,F8,No,04/23/12,,,,W,NONE,570,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0009,F9,Yes,04/23/12,OmyPAHH09S_0493,OmyPAHH09S_0577,OmyPAHH09S,H,AD,554,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0010,F10,No,04/24/12,,,,W,NONE,336,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0011,G1,No,04/25/12,,,,W,NONE,560,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0012,G2,No,04/25/12,,,,W,NONE,574,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0013,G3,Yes,04/26/12,OmyPAHH09S_0461,OmyPAHH09S_0545,OmyPAHH09S,H,AD,585,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0014,G4,No,04/26/12,,,,W,NONE,685,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0015,G5,Yes,05/03/12,OmyPAHH09S_0486,OmyPAHH09S_0570,OmyPAHH09S,H,AD,528,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0016,G6,No,05/05/12,,,,W,NONE,564,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0017,G7,No,05/05/12,,,,W,NONE,556,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0018,G8,No,05/05/12,,,,W,NONE,655,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0019,G9,Yes,05/05/12,OmySAWT09S_0346,OmySAWT09S_0843,OmySAWT09S,H,AD,588,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0020,G10,No,05/08/12,,,,W,NONE,600,,,,,,,,,,,,,,,,,,
OmyWIMP12S,OmyWIMP12S_0021,H1,No,05/08/12,,,,W,NONE,670,,,,,,,,,,,,,,,,,,
